wbc_category,wbc_year_win,medal,wbc_name,wbc_brewery,wbctoratebeer_name_brewery
belgian sour,2010,gold,Geuze Mariage Parfait,Brouwerij Boon,Boon Oude Geuze Mariage Parfait
belgian sour,2010,silver,Oude Geuze Boon,Brouwerij Boon,Boon Oude Geuze
belgian sour,2010,bronze,Lambic de Hill,Iron Hill Brewery & Restaurant #1,Iron Hill Lambic de Hill
british imperial stout,2010,gold,Russian Imperial Stout,Iron Hill Brewery & Restaurant #1,Iron Hill Russian Imperial Stout
dubbel,2010,gold,Ommegang Abbey Ale Dubbel,Brewery Ommegang,Ommegang Abbey Ale
dubbel,2010,bronze,Abbey Dubbel,Iron Hill Brewery & Restaurant #1,Iron Hill Abbey Dubbel
esb,2010,gold,Steep Trail Amber Ale,Black Diamond Brewing Co.,Black Diamond Steep Trail Amber Ale
esb,2010,silver,Organic Velvet ESB,Hopworks Urban Brewery,Hopworks Velvet ESB
esb,2010,bronze,Extra Special Ale,Yards Brewing Co.,Yards Extra Special Ale
imperial ipa,2010,bronze,Imperial IPA,Boundary Bay Brewery,Boundary Bay Imperial IPA
strong ale,2006,gold,Sopris,Glenwood Canyon Brewing Co.,Glenwood Canyon Sopris Strong Ale
strong ale,2006,silver,Never Summer Ale,Boulder Beer Co.,Boulder Beer Never Summer Ale
strong ale,2006,bronze,Cabin Fever,Boundary Bay Brewery,Boundary Bay Cabin Fever
strong ale,2008,gold,Outback X,Bend Brewing Co.,Bend Outback X
strong ale,2008,silver,Cabin Fever,Boundary Bay Brewery,Boundary Bay Cabin Fever
strong ale,2008,bronze,Sopris,Glenwood Canyon Brewing Co.,Glenwood Canyon Sopris Strong Ale
strong ale,2010,gold,Outback X,Bend Brewing Co.,Bend Outback X
strong ale,2010,silver,Dirty Bastard,Founders Brewing Co.,Founders Dirty Bastard Scotch Ale
strong ale,2010,bronze,Cabin Fever,Boundary Bay Brewery,Boundary Bay Cabin Fever
american pale ale,2004,gold,Firestone Pale Ale,Firestone Walker Brewing Co.,Firestone Walker Pale 31
american pale ale,2004,silver,Pale Nectar,Firestone Walker Brewing Co.,Nectar Ales Pale Nectar
american pale ale,2004,bronze,Piston Pale Ale,Laurelwood Public House & Brewery,Laurelwood Piston Pale Ale
american pale ale,2006,gold,Firestone Pale Ale,Firestone Walker Brewing Co.,Firestone Walker Pale 31
american pale ale,2006,silver,Mission Street Pale Ale,Firestone Walker Brewing Co.,Mission Street Pale Ale
american pale ale,2006,bronze,Bill Payer Ale,Nodding Head,Nodding Head B.P.A.
american pale ale,2008,gold,Widmer Pale Ale,Widmer Brothers Brewing Co.,Widmer Brothers Drifter Pale Ale
american pale ale,2008,silver,Sharptail Pale Ale,Montana Brewing Co.,Montana Brewing Sharptail Pale Ale
anerican pale ale,2008,bronze,Maui Pale Ale,Maui Brewing Co.,Maui Brewing Maui Pale Ale
american pale ale,2010,gold,Firestone Pale 31,Firestone Walker Brewing Co.,Firestone Walker Pale 31
american pale ale,2010,silver,Drakes 1500 Pale Ale,Drakes Brewing Co.,Drakes 1500 Pale Ale
american pale ale,2010,bronze,Mission Street Pale Ale,Firestone Walker Brewing Co.,Mission Street Pale Ale
wood aged beer,2004,gold,Bourbon Barrel Imperial Stout,Americas Brewing Co/Walter Paytons Roundhouse,Americas Bourbon Barrel Imperial Stout
wood aged beer,2004,silver,Redline Imperial Bourbon Stout,Rock Bottom Breweries,Rock Bottom Chicago Redline Imperial Bourbon Stout
wood aged beer,2006,gold,Bourbon County Stout,Goose Island Beer Co.,Goose Island Bourbon County Stout
wood aged beer,2006,bronze,Hitachino Nest Beer Japanese Classic Ale,Kiuchi Syuzou,Hitachino Nest Japanese Classic Ale
wood aged beer,2008,silver,Brown's Brewing Co.,Brown's Whiskey Porter,Browns Whiskey Porter
wood aged beer,2010,gold,Bourbon Barrel Aged Piper Down Scottish Ale, Ballast Point Brewing Co.,Ballast Point Piper Down Barrel Aged Scottish Ale
